Issue key,Issue id,Parent id,Summary,Issue Type,Status,Resolution,Assignee,Created,Updated,Resolved,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Custom field (Estimated Points),Custom field (Actual Points)
CD-1945,1047657,,"CPE, Bugfixing & Support",Task,Closed,Done,elvedin.mustafic,26/Jul/17 3:18 PM,11/Sep/17 4:23 PM,01/Sep/17 2:39 PM,Done in Aug 2017,,,Maintenance Hardware,,,10.0,22.0
CD-1946,1047658,,"MPOI resolution must work for ""variant splits"" even if the HW structure of the variants differs",Task,Closed,Done,elvedin.mustafic,26/Jul/17 3:18 PM,05/Sep/17 1:38 PM,04/Sep/17 2:25 PM,Done in Aug 2017,,,Maintenance Hardware,,,10.0,5.0
CD-1947,1047659,,"LIST CAPABILITIES reports the active capabilities ""columns""",Task,Closed,Done,elvedin.mustafic,26/Jul/17 3:19 PM,05/Sep/17 1:38 PM,01/Sep/17 2:39 PM,Done in Aug 2017,,,Maintenance Hardware,,,2.0,3.0
CD-1948,1047660,,Bug fixing,Task,Closed,Done,robert.adonyi,26/Jul/17 3:28 PM,05/Sep/17 1:38 PM,04/Sep/17 2:27 PM,Done in Aug 2017,,,Maintenance Hardware,,,3.0,3.0
CD-1949,1047668,,New kernel performance measurement on ATH Babi (dirty cow).,Task,Closed,Done,arvind.anche,26/Jul/17 5:23 PM,01/Aug/17 4:51 PM,31/Jul/17 10:51 AM,Done in July 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1950,1047670,,New kernel performance measurement on STH Anuket (dirty cow).,Task,Closed,Done,arvind.anche,26/Jul/17 5:36 PM,01/Aug/17 4:51 PM,31/Jul/17 10:50 AM,Done in July 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1951,1047671,,New kernel performance measurement on STH Anubis (dirty cow).,Task,Closed,Done,herbert.graf,26/Jul/17 5:36 PM,01/Aug/17 4:51 PM,01/Aug/17 9:08 AM,Done in July 2017,,,BBN-TestLab Testing,,,4.0,4.0
CD-1952,1047876,,New design of EK051-26501-001,Task,Closed,Done,bharadwaj.chalamacha,28/Jul/17 8:35 AM,05/Sep/17 1:38 PM,31/Aug/17 1:39 PM,Done in Aug 2017,,,PCB-Layout,,,20.0,28.0
CD-1953,1047877,,"New design of EK851-26501-001 (not redesign, new design)",Task,Closed,Done,prabhavathy.venkatac,28/Jul/17 8:35 AM,05/Sep/17 1:38 PM,31/Aug/17 2:15 PM,Done in Aug 2017,,,PCB-Layout,,,42.0,51.0
CD-1955,1048017,,Adding uBlaze into Python FIB and verified it,Task,Closed,Done,tanzeelur.rehman,28/Jul/17 12:10 PM,01/Aug/17 4:51 PM,28/Jul/17 12:11 PM,Done in July 2017,,,FPGA,,,10.0,10.0
CD-1956,1048018,,Provide status information on DIB from main FPGA,Task,Closed,Done,padmaprasad.boopal-c,28/Jul/17 12:21 PM,05/Sep/17 1:38 PM,31/Aug/17 11:06 AM,Done in Aug 2017,,,FPGA,,,10.0,10.0
CD-1957,1048019,,Provide status information on DIB from ZYNQ,Task,Closed,Done,padmaprasad.boopal-c,28/Jul/17 12:23 PM,05/Sep/17 1:38 PM,31/Aug/17 11:06 AM,Done in Aug 2017,,,FPGA,,,10.0,10.0
CD-1958,1048020,,AUG - Ramp of Engineer,Task,Closed,Done,padmaprasad.boopal-c,28/Jul/17 12:24 PM,05/Sep/17 1:38 PM,31/Aug/17 11:08 AM,Done in Aug 2017,,,FPGA,,,13.0,13.0
CD-1959,1048238,,8.1.0.0-STC2i testcycle on ATH Babi.,Task,Closed,Done,arvind.anche,31/Jul/17 10:45 AM,01/Aug/17 4:51 PM,01/Aug/17 9:08 AM,Done in July 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1960,1048239,,8.1.0.0-STC2i testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,31/Jul/17 10:47 AM,01/Aug/17 4:51 PM,01/Aug/17 9:08 AM,Done in July 2017,,,BBN-TestLab Testing,,,5.0,5.0
CD-1961,1048240,,8.1.0.0-STC2i testcycle on STH Anuket.,Task,Closed,Done,arvind.anche,31/Jul/17 10:48 AM,01/Aug/17 4:51 PM,01/Aug/17 9:08 AM,Done in July 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1962,1048241,,8.1.0.0-STC2i testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,31/Jul/17 10:48 AM,01/Aug/17 4:51 PM,01/Aug/17 9:08 AM,Done in July 2017,,,BBN-TestLab Testing,,,5.0,5.0
CD-1964,1050110,,Skeleton Bug Fix and Improvement,Task,Closed,Done,asad-ahmed.ansari,09/Aug/17 2:55 PM,05/Sep/17 1:37 PM,14/Aug/17 9:15 AM,Done in Aug 2017,,,Application Service,,,6.0,6.0
CD-1965,1050485,1044669,RemoteSensing Calibration Tasks - Collect More Requirements,Sub-task,Closed,Done,alfredo.moreira,11/Aug/17 9:31 AM,05/Sep/17 1:37 PM,31/Aug/17 9:18 AM,Done in Aug 2017,,,Maintenance Hardware,,,32.0,7.5
CD-1966,1050486,1044669,RemoteSensing Calibration EShare Documentation,Sub-task,Closed,Done,alfredo.moreira,11/Aug/17 9:33 AM,05/Sep/17 1:37 PM,31/Aug/17 9:16 AM,Done in Aug 2017,,,Maintenance Hardware,,,5.0,1.0
CD-1967,1050488,1044669,C++11 Zenith Documentation & Code Adaptation,Sub-task,Closed,Done,alfredo.moreira,11/Aug/17 9:36 AM,05/Sep/17 1:37 PM,14/Aug/17 10:55 AM,Done in Aug 2017,,,Maintenance Hardware,,,2.5,2.5
CD-1968,1050491,1044669,RemoteSensing Calibration Tasks - Preliminary Code,Sub-task,Closed,Done,alfredo.moreira,11/Aug/17 9:39 AM,06/Oct/17 1:40 PM,24/Aug/17 10:55 AM,Done in Sep 2017,,,Maintenance Hardware,,,2.5,2.5
CD-1969,1050675,,Improvements on s8.0.8.1 and 8.1,Task,Closed,Done,robert.adonyi,14/Aug/17 8:47 AM,05/Sep/17 1:37 PM,04/Sep/17 2:27 PM,Done in Aug 2017,,,Maintenance Hardware,,,21.0,21.0
CD-1970,1051120,,Rework of Rules and HowTos,Task,Closed,Done,eduard.stefes,17/Aug/17 9:34 AM,05/Sep/17 1:37 PM,31/Aug/17 4:02 PM,Done in Aug 2017,,,Application Service,,,12.0,12.0
CD-1971,1051125,1013164,Rework of Skeleton Program,Sub-task,Closed,Done,eduard.stefes,17/Aug/17 9:59 AM,05/Sep/17 1:37 PM,31/Aug/17 4:01 PM,Done in Aug 2017,,,Application Service,,,19.0,19.0
CD-1972,1051329,,7.3.4.11_FVi testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,18/Aug/17 11:43 AM,05/Sep/17 1:37 PM,29/Aug/17 11:08 AM,Done in Aug 2017,,,BBN-TestLab Testing,,,2.5,2.5
CD-1973,1051330,,7.3.4.11_FVi testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,18/Aug/17 11:47 AM,05/Sep/17 1:37 PM,29/Aug/17 11:09 AM,Done in Aug 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1974,1051332,,7.3.4.11_FVi testcycle on STH Anuket.,Task,Closed,Done,arvind.anche,18/Aug/17 11:48 AM,05/Sep/17 1:37 PM,22/Aug/17 2:02 PM,Done in Aug 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1975,1051333,,7.3.4.11_FVi testcycle on ATH Babi.,Task,Closed,Done,arvind.anche,18/Aug/17 11:49 AM,05/Sep/17 1:37 PM,22/Aug/17 2:02 PM,Done in Aug 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1976,1051334,,7.3.4.11_FVi testcycle on ATH Ipet.,Task,Closed,Done,arvind.anche,18/Aug/17 11:49 AM,05/Sep/17 1:37 PM,22/Aug/17 2:03 PM,Done in Aug 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1977,1051335,,7.5.0.0_ITC1 testcycle on ATH Babi.,Task,Closed,Done,arvind.anche,18/Aug/17 11:51 AM,05/Sep/17 1:37 PM,22/Aug/17 2:03 PM,Done in Aug 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1978,1051336,,7.5.0.0_ITC1 testcycle on ATH Ipet.,Task,Closed,Done,arvind.anche,18/Aug/17 11:51 AM,05/Sep/17 1:37 PM,22/Aug/17 2:03 PM,Done in Aug 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1979,1051338,,7.5.0.0_ITC1 testcycle on STH Anuket.,Task,Closed,Done,arvind.anche,18/Aug/17 11:52 AM,05/Sep/17 1:37 PM,22/Aug/17 2:03 PM,Done in Aug 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1980,1051339,,7.5.0.0_ITC1 testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,18/Aug/17 11:53 AM,05/Sep/17 1:38 PM,29/Aug/17 11:10 AM,Done in Aug 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1981,1051340,,7.5.0.0_ITC1 testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,18/Aug/17 11:54 AM,05/Sep/17 1:38 PM,29/Aug/17 11:11 AM,Done in Aug 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1982,1051342,,8.0.8.1_FVi testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,18/Aug/17 11:55 AM,05/Sep/17 1:38 PM,31/Aug/17 9:58 AM,Done in Aug 2017,,,BBN-TestLab Testing,,,2.5,2.5
CD-1983,1051343,,8.0.8.1_FVi testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,18/Aug/17 11:56 AM,05/Sep/17 1:38 PM,31/Aug/17 9:59 AM,Done in Aug 2017,,,BBN-TestLab Testing,,,3.5,3.5
CD-1984,1051344,,8.0.8.1_FVi testcycle on STH Anuket.,Task,Closed,Done,arvind.anche,18/Aug/17 11:57 AM,05/Sep/17 1:38 PM,22/Aug/17 2:03 PM,Done in Aug 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1985,1051345,,8.0.8.1_FVi testcycle on ATH Babi.,Task,Closed,Done,arvind.anche,18/Aug/17 11:57 AM,05/Sep/17 1:38 PM,22/Aug/17 2:03 PM,Done in Aug 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1986,1051347,,7.4.3.2_FVi testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,18/Aug/17 12:00 PM,05/Sep/17 1:38 PM,29/Aug/17 11:20 AM,Done in Aug 2017,,,BBN-TestLab Testing,,,2.5,2.5
CD-1987,1051348,,7.4.3.2_FVi testcycle on STH Anuket.,Task,Closed,Done,arvind.anche,18/Aug/17 12:00 PM,05/Sep/17 1:38 PM,22/Aug/17 2:04 PM,Done in Aug 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1988,1051349,,7.4.3.2_FVi testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,18/Aug/17 12:01 PM,05/Sep/17 1:38 PM,29/Aug/17 11:21 AM,Done in Aug 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-1989,1051350,,7.4.3.2_FVi testcycle on ATH Babi.,Task,Closed,Done,arvind.anche,18/Aug/17 12:01 PM,05/Sep/17 1:38 PM,22/Aug/17 2:04 PM,Done in Aug 2017,,,BBN-TestLab Testing,,,1.0,1.0
CD-1990,1051351,,7.4.3.2_FVi testcycle on ATH Ipet.,Task,Closed,Done,arvind.anche,18/Aug/17 12:02 PM,05/Sep/17 1:38 PM,22/Aug/17 2:04 PM,Done in Aug 2017,,,BBN-TestLab Testing,,,1.0,1.0
CD-1991,1051352,,FPGA bundle 4.0.20p1 testcycle on Horus.,Task,Closed,Done,herbert.graf,18/Aug/17 12:19 PM,05/Sep/17 1:38 PM,29/Aug/17 11:22 AM,Done in Aug 2017,,,BBN-TestLab Testing,,,1.0,1.0
CD-1992,1051354,,Performance measurements for sRDI packages under 7.2.3.11 on LTH Horus.,Task,Closed,Done,herbert.graf,18/Aug/17 12:23 PM,05/Sep/17 1:38 PM,29/Aug/17 11:43 AM,Done in Aug 2017,,,BBN-TestLab Testing,,,1.5,1.5
CD-1993,1051357,,7.4.4.0_ITC2 testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,18/Aug/17 12:39 PM,05/Sep/17 1:38 PM,29/Aug/17 11:43 AM,Done in Aug 2017,,,BBN-TestLab Testing,,,2.5,2.5
CD-1994,1051359,,7.4.4.0_ITC2 testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,18/Aug/17 12:41 PM,05/Sep/17 1:38 PM,29/Aug/17 11:46 AM,Done in Aug 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-1995,1051360,,7.4.4.0_ITC2 testcycle on STH Anuket.,Task,Closed,Done,arvind.anche,18/Aug/17 12:42 PM,05/Sep/17 1:38 PM,30/Aug/17 2:50 PM,Done in Aug 2017,,,BBN-TestLab Testing,,,0.0,0.0
CD-1997,1051613,1044669,Current Calibration Drafts - Add Support for Parallel Execution,Sub-task,Closed,Done,alfredo.moreira,21/Aug/17 4:57 PM,05/Sep/17 1:38 PM,21/Aug/17 5:00 PM,Done in Aug 2017,,,Maintenance Hardware,,,4.0,4.0
CD-1998,1051693,,7.3.2.11.cs.4-FV testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,22/Aug/17 10:16 AM,05/Sep/17 1:38 PM,29/Aug/17 11:14 AM,Done in Aug 2017,,,BBN-TestLab Testing,,,2.5,2.5
CD-1999,1051695,,7.4.3.3_FVi testcycle on ATH Babi.,Task,Closed,Done,arvind.anche,22/Aug/17 10:18 AM,05/Sep/17 1:38 PM,22/Aug/17 2:04 PM,Done in Aug 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-2000,1051696,,7.4.3.3_FVi testcycle on ATH Ipet.,Task,Closed,Done,arvind.anche,22/Aug/17 10:18 AM,05/Sep/17 1:38 PM,22/Aug/17 2:04 PM,Done in Aug 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-2001,1051697,,7.4.3.3_FVi testcycle on STH Anuket.,Task,Closed,Done,arvind.anche,22/Aug/17 10:19 AM,05/Sep/17 1:38 PM,22/Aug/17 2:03 PM,Done in Aug 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-2002,1051698,,7.4.3.3_FVi testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,22/Aug/17 10:19 AM,05/Sep/17 1:38 PM,29/Aug/17 11:18 AM,Done in Aug 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-2003,1051699,,7.4.3.3_FVi testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,22/Aug/17 10:20 AM,05/Sep/17 1:38 PM,29/Aug/17 11:18 AM,Done in Aug 2017,,,BBN-TestLab Testing,,,3.5,3.5
CD-2004,1051701,,7.4.4.0_ITC3 testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,22/Aug/17 10:24 AM,05/Sep/17 1:38 PM,31/Aug/17 9:59 AM,Done in Aug 2017,,,BBN-TestLab Testing,,,3.5,3.5
CD-2005,1051704,,7.4.4.0_ITC3 testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,22/Aug/17 10:25 AM,05/Sep/17 1:38 PM,31/Aug/17 9:59 AM,Done in Aug 2017,,,BBN-TestLab Testing,,,2.5,2.5
CD-2006,1051705,,7.4.4.0_ITC3 testcycle on STH Anuket.,Task,Closed,Done,arvind.anche,22/Aug/17 10:26 AM,05/Sep/17 1:38 PM,30/Aug/17 2:47 PM,Done in Aug 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-2007,1051706,,7.4.4.0_ITC3 testcycle on ATH Babi.,Task,Closed,Done,arvind.anche,22/Aug/17 10:27 AM,05/Sep/17 1:38 PM,30/Aug/17 2:47 PM,Done in Aug 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-2008,1051708,,7.4.4.0_ITC3 testcycle on ATH Ipet.,Task,Closed,Done,arvind.anche,22/Aug/17 10:28 AM,05/Sep/17 1:38 PM,30/Aug/17 2:47 PM,Done in Aug 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-2009,1052072,1019043,August - Ramp of Engineers,Sub-task,Closed,Done,shubhangi.saxena,24/Aug/17 9:14 AM,05/Sep/17 1:38 PM,31/Aug/17 4:01 PM,Done in Aug 2017,,,Application Service,,,41.0,44.0
CD-2010,1052080,,Remove xoc::hw::cor::maintdb Components,Task,Closed,Done,eduard.stefes,24/Aug/17 9:52 AM,05/Sep/17 1:37 PM,31/Aug/17 10:40 AM,Done in Aug 2017,,,Maintenance Hardware,,,15.0,14.0
CD-2012,1052100,,Ramp Driver NT,Task,Closed,Done,shubhangi.saxena,24/Aug/17 10:44 AM,20/Oct/17 9:13 PM,04/Oct/17 9:08 AM,Done in Sep 2017,,,Application Service,,,42.0,42.0
CD-2013,1052104,,Delete Very Old Maintenance Store ,Task,Closed,Done,alfredo.moreira,24/Aug/17 10:58 AM,05/Sep/17 1:37 PM,31/Aug/17 9:15 AM,Done in Aug 2017,,,Maintenance Hardware,,,12.5,12.5
CD-2017,1052289,,Maintenance facade - File logger,Task,Closed,Done,robert.adonyi,25/Aug/17 5:00 PM,05/Sep/17 1:37 PM,04/Sep/17 2:28 PM,Done in Aug 2017,,,Maintenance Hardware,,,5.0,4.0
CD-2018,1052290,,"Maintenance Facade support for Testprogram ""focused"" maintenance status",Task,Closed,Done,robert.adonyi,25/Aug/17 5:03 PM,05/Sep/17 1:37 PM,04/Sep/17 2:28 PM,Done in Aug 2017,,,Maintenance Hardware,,,3.0,2.0
CD-2019,1052624,,Incorporate SCAN test into Proteus Skeleton,Enhancement,Closed,Done,terry.payet,29/Aug/17 4:26 PM,06/Oct/17 1:40 PM,04/Oct/17 9:08 AM,Done in Sep 2017,,,Application Service,,,19.0,19.0
CD-2020,1052628,,Incorporate SCAN test into Proteus Skeleton,Enhancement,Closed,Done,wassim.dhokar,29/Aug/17 4:41 PM,06/Oct/17 1:40 PM,04/Oct/17 9:08 AM,Done in Sep 2017,,,Application Service,,,41.0,41.0
CD-2021,1052631,,Incorporate SCAN test into Proteus Skeleton,Enhancement,Closed,Done,asad-ahmed.ansari,29/Aug/17 4:55 PM,06/Oct/17 1:40 PM,29/Sep/17 9:50 AM,Done in Sep 2017,,,Application Service,,,42.0,42.0
CD-2022,1052722,1036835,Implement and Debug Flash Access by user program for Microblaze with QZI,Sub-task,Closed,Done,tanzeelur.rehman,30/Aug/17 11:35 AM,05/Sep/17 1:38 PM,31/Aug/17 11:11 AM,Done in Aug 2017,,,FPGA,,,33.0,33.0
CD-2023,1052840,1044669,RemoteSensing Calibration Tasks - Collect More Requirements,Sub-task,Pre-Planning,,alfredo.moreira,31/Aug/17 9:17 AM,31/Aug/17 9:17 AM,,,,,Maintenance Hardware,,,32.0,
CD-2024,1052909,1036835,Implement and Debug Flash Access by user program for Microblaze with QZI,Sub-task,Closed,Done,tanzeelur.rehman,31/Aug/17 11:14 AM,06/Oct/17 1:40 PM,28/Sep/17 3:35 PM,Done in Sep 2017,,,FPGA,,,10.0,10.0
CD-2025,1052911,,Uart packetizer implementation in RTL for ZYNQ CB,Task,Closed,Done,tanzeelur.rehman,31/Aug/17 11:17 AM,06/Oct/17 1:40 PM,28/Sep/17 3:36 PM,Done in Sep 2017,,,FPGA,,,27.0,30.0
CD-2026,1052913,,Provide status information on DIB from main FPGA,Task,Closed,Done,padmaprasad.boopal-c,31/Aug/17 11:22 AM,06/Oct/17 1:40 PM,28/Sep/17 3:47 PM,Done in Sep 2017,,,FPGA,,,20.0,40.0
CD-2027,1052916,,Provide status information on DIB from ZYNQ,Task,Closed,Done,padmaprasad.boopal-c,31/Aug/17 11:29 AM,07/Dec/17 4:48 PM,28/Nov/17 2:38 PM,Done in Nov 2017,,,FPGA,,,42.0,42.0
CD-2028,1052955,,Enable PSSL HW for new Maintframe to Legacy Execution,Task,Closed,Done,hleberer,31/Aug/17 1:10 PM,05/Sep/17 1:37 PM,04/Sep/17 2:26 PM,Done in Aug 2017,,,Maintenance Hardware,,,8.0,6.0
CD-2029,1052959,,Maintenance facade - Parser,Task,Closed,Done,robert.adonyi,31/Aug/17 2:03 PM,06/Oct/17 1:40 PM,05/Oct/17 1:00 PM,Done in Sep 2017,,,Maintenance Hardware,,,45.0,37.0
CD-2030,1052960,,Bug fixing,Task,Closed,Done,robert.adonyi,31/Aug/17 2:04 PM,06/Oct/17 1:40 PM,05/Oct/17 1:01 PM,Done in Sep 2017,,,Maintenance Hardware,,,4.0,5.0
CD-2031,1052961,,New design of EK051-26501-001,Task,Closed,Done,bharadwaj.chalamacha,31/Aug/17 2:05 PM,06/Oct/17 1:40 PM,05/Oct/17 11:10 AM,Done in Sep 2017,,,PCB-Layout,,,10.0,29.0
CD-2033,1052964,,"New design of EK851-26501-001 (not redesign, new design)",Task,Closed,Done,prabhavathy.venkatac,31/Aug/17 2:16 PM,06/Oct/17 1:40 PM,05/Oct/17 11:04 AM,Done in Sep 2017,,,PCB-Layout,,,24.0,27.0
CD-2034,1052968,,"CPE, Bugfixing & Support",Task,Closed,Done,elvedin.mustafic,31/Aug/17 2:28 PM,06/Oct/17 1:40 PM,05/Oct/17 1:06 PM,Done in Sep 2017,,,Maintenance Hardware,,,10.0,3.0
CD-2035,1052969,,Startup ConfigDB Handling,Task,Closed,Done,elvedin.mustafic,31/Aug/17 2:29 PM,06/Oct/17 1:40 PM,05/Oct/17 1:00 PM,Done in Sep 2017,,,Maintenance Hardware,,,25.0,34.0
CD-2036,1052970,,Variantregistry Refactoring,Task,Closed,Done,elvedin.mustafic,31/Aug/17 2:30 PM,06/Oct/17 1:40 PM,05/Oct/17 1:00 PM,Done in Sep 2017,,,Maintenance Hardware,,,15.0,1.0
CD-2037,1053860,,Timestamp is not correctly formatted in system properties,Task,Closed,Done,elvedin.mustafic,07/Sep/17 1:06 PM,06/Oct/17 1:40 PM,06/Oct/17 9:36 AM,Done in Sep 2017,,,Maintenance Hardware,,,3.0,5.0
CD-2038,1053862,,7.3.4.12_FVi testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,07/Sep/17 1:43 PM,06/Oct/17 1:40 PM,29/Sep/17 10:52 AM,Done in Sep 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-2039,1053863,,7.3.4.12_FVi testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,07/Sep/17 1:44 PM,06/Oct/17 1:40 PM,29/Sep/17 10:52 AM,Done in Sep 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-2040,1053866,,8.1.0.0-3i testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,07/Sep/17 1:59 PM,06/Oct/17 1:40 PM,29/Sep/17 10:55 AM,Done in Sep 2017,,,BBN-TestLab Testing,,,2.5,2.5
CD-2041,1053867,,8.1.0.0-3i testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,07/Sep/17 2:03 PM,06/Oct/17 1:40 PM,29/Sep/17 10:55 AM,Done in Sep 2017,,,BBN-TestLab Testing,,,2.5,2.5
CD-2042,1053869,,8.0.8.2-FVi testcycle on LTH Horus.,Task,Closed,Done,herbert.graf,07/Sep/17 2:08 PM,06/Oct/17 1:40 PM,29/Sep/17 10:52 AM,Done in Sep 2017,,,BBN-TestLab Testing,,,2.5,2.5
CD-2043,1053870,,8.0.8.2-FVi testcycle on STH Anubis.,Task,Closed,Done,herbert.graf,07/Sep/17 2:09 PM,06/Oct/17 1:40 PM,29/Sep/17 10:52 AM,Done in Sep 2017,,,BBN-TestLab Testing,,,2.5,2.5
CD-2044,1053871,,8.0.8.2-FVi testcycle on ATH Babi.,Task,Closed,Done,arvind.anche,07/Sep/17 2:10 PM,06/Oct/17 1:40 PM,28/Sep/17 11:16 AM,Done in Sep 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-2045,1054004,, remove xoc::hw::cor::maintdb Components,Task,Closed,Done,eduard.stefes,08/Sep/17 2:15 PM,06/Oct/17 1:40 PM,27/Sep/17 9:35 AM,Done in Sep 2017,,,Maintenance Hardware,,,6.0,6.0
CD-2046,1054657,,8.1.0.0-3i testcycle on ATH Babi.,Task,Closed,Done,arvind.anche,13/Sep/17 12:50 PM,06/Oct/17 1:40 PM,13/Sep/17 1:29 PM,Done in Sep 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-2047,1054658,,8.1.0.0-3i testcycle on STH Anuket.,Task,Closed,Done,arvind.anche,13/Sep/17 12:50 PM,06/Oct/17 1:40 PM,13/Sep/17 1:29 PM,Done in Sep 2017,,,BBN-TestLab Testing,,,3.0,3.0
CD-2048,1054660,,8.1.0.0-FVi testcycle on ATH Babi.,Task,Closed,Done,arvind.anche,13/Sep/17 12:52 PM,06/Oct/17 1:40 PM,28/Sep/17 11:16 AM,Done in Sep 2017,,,BBN-TestLab Testing,,,6.0,6.0
CD-2049,1054661,,8.1.0.0-FVi testcycle on STH Anuket.,Task,Closed,Done,arvind.anche,13/Sep/17 12:53 PM,06/Oct/17 1:40 PM,28/Sep/17 11:17 AM,Done in Sep 2017,,,BBN-TestLab Testing,,,4.0,4.0
CD-2050,1054662,,7.3.4.12_FVi testcycle on ATH Babi.,Task,Closed,Done,arvind.anche,13/Sep/17 12:55 PM,06/Oct/17 1:40 PM,13/Sep/17 1:29 PM,Done in Sep 2017,,,BBN-TestLab Testing,,,2.0,2.0
CD-2051,1055155,,Finalizing Cleanup of Old Store,Task,Closed,Done,alfredo.moreira,18/Sep/17 2:08 PM,06/Oct/17 1:40 PM,18/Sep/17 2:10 PM,Done in Sep 2017,,,Maintenance Hardware,,,3.0,3.0
CD-2052,1055156,1047655,Provide Generic Task for low level mpois,Sub-task,Closed,Done,hleberer,18/Sep/17 2:09 PM,06/Oct/17 1:40 PM,04/Oct/17 7:09 AM,Done in Sep 2017,,,Maintenance Hardware,,,20.0,11.0
CD-2053,1055159,1047655,Provide Data Xchange wih Low Level Diag,Sub-task,Closed,Done,hleberer,18/Sep/17 2:10 PM,06/Oct/17 1:40 PM,04/Oct/17 7:11 AM,Done in Sep 2017,,,Maintenance Hardware,,,20.0,10.0
CD-2054,1055160,1047655,EEPROM Read Write Access to Low Level Diag,Sub-task,Closed,Done,hleberer,18/Sep/17 2:11 PM,07/Nov/17 4:29 PM,02/Nov/17 11:39 AM,Done in Oct 2017,,,Maintenance Hardware,,,10.0,6.0
CD-2055,1055161,,Darwin Correlation Task - CSV Parser,Task,Closed,Done,alfredo.moreira,18/Sep/17 2:11 PM,06/Oct/17 1:40 PM,18/Sep/17 2:13 PM,Done in Sep 2017,,,Maintenance Hardware,,,7.0,7.0
CD-2056,1055162,1055161,Enhance Python Correlation: CSV Parser,Sub-task,Closed,Done,eduard.stefes,18/Sep/17 2:14 PM,06/Oct/17 1:40 PM,22/Sep/17 10:52 AM,Done in Sep 2017,,,Maintenance Hardware,,,9.0,9.0
CD-2057,1055163,,"CPE, Bugfixing and Support",Task,Closed,Done,hleberer,18/Sep/17 2:16 PM,02/Nov/17 11:17 AM,05/Oct/17 1:00 PM,Done in Sep 2017,,,Maintenance Hardware,,,12.0,11.0
CD-2058,1055164,,Darwin Correlation Task - Create Measurement Task Skeleton,Task,Closed,Done,alfredo.moreira,18/Sep/17 2:17 PM,06/Oct/17 1:40 PM,18/Sep/17 2:18 PM,Done in Sep 2017,,,Maintenance Hardware,,,2.0,2.0
CD-2059,1055165,,"Provide Support for ViperSL, SLIO, for legacy diag in new Maint Frame",Task,Closed,Done,hleberer,18/Sep/17 2:18 PM,06/Oct/17 1:40 PM,18/Sep/17 2:20 PM,Done in Sep 2017,,,Maintenance Hardware,,,4.0,4.0
